sequence_id,data
1,"What is Federated Learning?

Federated Learning is a novel approach to address challenges related to data privacy, security, and decentralized data distribution."
2,"In contrast to traditional machine learning setups where data is collected and stored centrally, Federated Learning allows for collaborative model training while keeping data local with the data owner or device."
3,"This is particularly advantageous in scenarios where data cannot be easily shared due to privacy regulations, network limitations, or ownership concerns."
4,"At its core, Federated Learning orchestrates model training across distributed devices or servers, referred to as clients or participants."
5,"These participants could be diverse endpoints such as mobile devices, IoT gateways, or remote servers."
6,"Rather than transmitting raw data to a central location, each participant computes gradients locally based on its data."
7,"These gradients are then communicated to a server, often called the aggregator."
8,The server aggregates and combines the gradients from multiple participants to update a global model.
9,This iterative process allows the global model to improve without the need to share the raw data.
10,"The FEDn framework

The goal with FEDn is to provide a federated learning framework that is secure, scalable and easy-to-use."
11,"Our ambition is that FEDn supports the full journey from early testing/exploration, through pilot projects, to real-world depoyments and integration."
12,We believe that that minimal code change should be needed to progress from early proof-of-concepts to production.
13,"This is reflected in our core design:

    Minimal server-side complexity for the end-user."
14,Running a proper distributed FL deployment is hard.
15,"With FEDn Studio we seek to handle all server-side complexity and provide a UI, REST API and a Python interface to help users manage FL experiments and track metrics in real time."
16,Secure by design.
17,FL clients do not need to open any ingress ports.
18,Industry-standard communication protocols (gRPC) and token-based authentication and RBAC (Jason Web Tokens) provides flexible integration in a range of production environments.
19,ML-framework agnostic.
20,A black-box client-side architecture lets data scientists interface with their framework of choice.
21,Cloud native.
22,"By following cloud native design principles, we ensure a wide range of deployment options including private cloud and on-premise infrastructure."
23,Scalability and resilience.
24,Multiple aggregation servers (combiners) can share the workload.
25,FEDn seamlessly recover from failures in all critical components and manages intermittent client-connections.
26,Developer and DevOps friendly.
27,"Extensive event logging and distributed tracing enables developers to monitor the sytem in real-time, simplifying troubleshooting and auditing."
28,Extensions and integrations are facilitated by a flexible plug-in architecture.
29,"Features

Federated learning:

    Tiered federated learning architecture enabling massive scalability and resilience."
30,"Support for any ML framework (examples for PyTorch, Tensforflow/Keras and Scikit-learn)

    Extendable via a plug-in architecture (aggregators, load balancers, object storage backends, databases etc.)

    Built-in federated algorithms (FedAvg, FedAdam, FedYogi, FedAdaGrad, etc.)

    UI, CLI and Python API."
31,"Implement clients in any language (Python, C++, Kotlin etc.)

    No open ports needed client-side."
32,"From development to FL in production:

    Secure deployment of server-side / control-plane on Kubernetes."
33,"UI with dashboards for orchestrating FL experiments and for visualizing results

    Team features - collaborate with other users in shared project workspaces."
34,"Features for the trusted-third party: Manage access to the FL network, FL clients and training progress."
35,REST API for handling experiments/jobs.
36,View and export logging and tracing information.
37,"Public cloud, dedicated cloud and on-premise deployment options."
38,"Available client APIs:

    Python client (FEDn C++ client)

    C++ client (FEDn C++ client)

    Android Kotlin client (FEDn Kotlin client)

Support

Community support in available in our Discord server."
39,"For professionals / Enteprise, we offer Dedicated support."
40,"What is Federated Learning?

Federated Learning is a novel approach to address challenges related to data privacy, security, and decentralized data distribution."
41,"In contrast to traditional machine learning setups where data is collected and stored centrally, Federated Learning allows for collaborative model training while keeping data local with the data owner or device."
42,"This is particularly advantageous in scenarios where data cannot be easily shared due to privacy regulations, network limitations, or ownership concerns."
43,"At its core, Federated Learning orchestrates model training across distributed devices or servers, referred to as clients or participants."
44,"These participants could be diverse endpoints such as mobile devices, IoT gateways, or remote servers."
45,"Rather than transmitting raw data to a central location, each participant computes gradients locally based on its data."
46,"These gradients are then communicated to a server, often called the aggregator."
47,The server aggregates and combines the gradients from multiple participants to update a global model.
48,This iterative process allows the global model to improve without the need to share the raw data.
49,"The FEDn framework

The goal with FEDn is to provide a federated learning framework that is secure, scalable and easy-to-use."
50,"Our ambition is that FEDn supports the full journey from early testing/exploration, through pilot projects, to real-world depoyments and integration."
51,We believe that that minimal code change should be needed to progress from early proof-of-concepts to production.
52,"This is reflected in our core design:

    Minimal server-side complexity for the end-user."
53,Running a proper distributed FL deployment is hard.
